"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 30일","4,374.9","4,371.9","4,397.9","4,370.6","-","0.06%"
"2021년 09월 29일","4,372.1","4,365.2","4,388.7","4,354.8","-","0.15%"
"2021년 09월 28일","4,365.5","4,440.3","4,451.8","4,346.3","-","-1.68%"
"2021년 09월 27일","4,440.1","4,462.9","4,482.4","4,435.8","-","-0.51%"
"2021년 09월 26일","4,462.7","4,457.3","4,464.4","4,456.3","-","0.14%"
"2021년 09월 24일","4,456.4","4,451.8","4,463.5","4,421.6","-","0.10%"
"2021년 09월 23일","4,451.8","4,403.3","4,465.6","4,401.8","-","1.11%"
"2021년 09월 22일","4,403.1","4,341.6","4,416.8","4,332.2","-","1.40%"
"2021년 09월 21일","4,342.1","4,366.9","4,406.4","4,341.6","-","-0.57%"
"2021년 09월 20일","4,366.9","4,427.6","4,428.9","4,305.6","-","-1.36%"
"2021년 09월 19일","4,426.9","4,422.9","4,427.4","4,415.6","-","0.18%"
"2021년 09월 17일","4,418.9","4,466.9","4,481.9","4,418.1","-","-1.08%"
"2021년 09월 16일","4,467.1","4,483.9","4,487.0","4,443.0","-","-0.38%"
"2021년 09월 15일","4,484.2","4,450.5","4,486.6","4,437.8","-","0.75%"
"2021년 09월 14일","4,450.7","4,475.3","4,488.8","4,435.3","-","-0.56%"
"2021년 09월 13일","4,475.6","4,476.0","4,493.8","4,445.8","-","-0.00%"
"2021년 09월 12일","4,475.8","4,462.0","4,476.8","4,462.0","-","0.31%"
"2021년 09월 10일","4,462.1","4,492.4","4,519.1","4,457.7","-","-0.66%"
"2021년 09월 09일","4,491.9","4,509.1","4,529.9","4,487.3","-","-0.36%"
"2021년 09월 08일","4,508.3","4,515.8","4,525.5","4,493.8","-","-0.17%"
"2021년 09월 07일","4,515.8","4,540.6","4,542.4","4,512.9","-","-0.55%"
"2021년 09월 06일","4,540.7","4,529.4","4,549.4","4,525.4","-","0.24%"
"2021년 09월 05일","4,529.7","4,535.4","4,536.0","4,529.4","-","-0.12%"
"2021년 09월 03일","4,535.0","4,536.7","4,546.9","4,521.4","-","-0.02%"
"2021년 09월 02일","4,536.0","4,524.9","4,545.8","4,517.9","-","0.24%"
"2021년 09월 01일","4,525.2","4,530.8","4,542.0","4,522.1","-","-0.11%"
"2021년 08월 31일","4,530.3","4,529.8","4,544.6","4,516.2","-","0.01%"
"2021년 08월 30일","4,529.8","4,514.3","4,537.6","4,504.3","-","0.34%"
"2021년 08월 29일","4,514.3","4,511.1","4,516.5","4,509.4","-","0.08%"
"2021년 08월 27일","4,510.7","4,469.2","4,513.4","4,465.9","-","0.92%"
"2021년 08월 26일","4,469.7","4,496.3","4,496.6","4,468.2","-","-0.59%"
"2021년 08월 25일","4,496.1","4,485.4","4,502.1","4,480.4","-","0.23%"
"2021년 08월 24일","4,485.7","4,487.5","4,495.8","4,480.8","-","-0.03%"
"2021년 08월 23일","4,487.2","4,443.8","4,489.9","4,443.4","-","0.97%"
"2021년 08월 22일","4,444.0","4,439.1","4,446.3","4,437.6","-","0.04%"
"2021년 08월 20일","4,442.1","4,399.1","4,444.5","4,376.1","-","0.99%"
"2021년 08월 19일","4,398.6","4,396.0","4,418.6","4,352.5","-","0.05%"
"2021년 08월 18일","4,396.2","4,438.4","4,454.0","4,386.6","-","-0.94%"
"2021년 08월 17일","4,437.9","4,476.0","4,476.5","4,417.5","-","-0.85%"
"2021년 08월 16일","4,476.1","4,463.5","4,481.5","4,438.0","-","0.29%"
"2021년 08월 15일","4,463.3","4,462.9","4,464.5","4,460.9","-","-0.06%"
"2021년 08월 13일","4,465.8","4,458.6","4,468.8","4,456.8","-","0.17%"
"2021년 08월 12일","4,458.1","4,444.8","4,462.0","4,436.2","-","0.29%"
"2021년 08월 11일","4,445.0","4,434.4","4,449.8","4,427.6","-","0.24%"
"2021년 08월 10일","4,434.3","4,432.1","4,445.4","4,423.6","-","0.05%"
"2021년 08월 09일","4,432.3","4,421.5","4,438.7","4,419.1","-","0.24%"
"2021년 08월 08일","4,421.8","4,435.1","4,435.5","4,419.5","-","-0.35%"
"2021년 08월 06일","4,437.5","4,424.1","4,440.1","4,423.4","-","0.31%"
"2021년 08월 05일","4,423.9","4,405.3","4,429.9","4,401.6","-","0.43%"
"2021년 08월 04일","4,405.1","4,416.0","4,422.6","4,399.8","-","-0.24%"
"2021년 08월 03일","4,415.8","4,393.8","4,424.3","4,373.2","-","0.50%"
"2021년 08월 02일","4,394.0","4,413.9","4,426.7","4,385.0","-","-0.46%"
"2021년 08월 01일","4,414.2","4,404.8","4,415.9","4,403.0","-","0.27%"
"2021년 07월 30일","4,402.1","4,393.6","4,412.3","4,377.8","-","0.18%"
"2021년 07월 29일","4,394.1","4,401.4","4,430.2","4,387.9","-","-0.17%"
"2021년 07월 28일","4,401.7","4,399.7","4,415.6","4,387.3","-","0.04%"
"2021년 07월 27일","4,399.9","4,419.4","4,420.6","4,372.5","-","-0.45%"
"2021년 07월 26일","4,419.6","4,403.7","4,424.6","4,383.7","-","0.29%"
"2021년 07월 23일","4,406.9","4,377.3","4,415.3","4,375.8","-","0.67%"
"2021년 07월 22일","4,377.5","4,361.9","4,379.7","4,350.0","-","0.35%"
"2021년 07월 21일","4,362.4","4,332.6","4,364.9","4,318.3","-","0.68%"
"2021년 07월 20일","4,332.8","4,270.0","4,337.0","4,261.5","-","1.46%"
"2021년 07월 19일","4,270.3","4,316.2","4,317.5","4,233.0","-","-1.06%"
"2021년 07월 18일","4,316.0","4,327.5","4,328.5","4,311.7","-","-0.26%"
"2021년 07월 16일","4,327.2","4,367.4","4,375.1","4,322.5","-","-0.75%"
"2021년 07월 15일","4,360.0","4,369.0","4,369.0","4,340.7","-","-0.33%"
"2021년 07월 14일","4,374.3","4,380.1","4,393.7","4,362.4","-","0.12%"
"2021년 07월 13일","4,369.2","4,381.1","4,392.4","4,366.9","-","-0.35%"
"2021년 07월 12일","4,384.6","4,372.4","4,386.7","4,364.0","-","0.35%"
"2021년 07월 09일","4,369.5","4,329.4","4,371.6","4,329.4","-","1.13%"
"2021년 07월 08일","4,320.8","4,321.1","4,330.9","4,289.4","-","-0.86%"
"2021년 07월 07일","4,358.1","4,351.0","4,361.9","4,329.8","-","0.34%"
"2021년 07월 06일","4,343.5","4,356.5","4,356.5","4,314.4","-","-0.07%"
"2021년 07월 05일","4,346.4","4,339.4","4,347.4","4,333.1","-","0.17%"
"2021년 07월 04일","4,339.1","4,338.8","4,342.6","4,338.3","-","-0.30%"
"2021년 07월 02일","4,352.3","4,326.6","4,355.4","4,326.6","-","0.75%"
"2021년 07월 01일","4,319.9","4,300.7","4,320.7","4,300.7","-","0.52%"
"2021년 06월 30일","4,297.5","4,290.6","4,302.4","4,288.0","-","0.13%"
"2021년 06월 29일","4,291.8","4,293.2","4,300.5","4,287.0","-","0.03%"
"2021년 06월 28일","4,290.6","4,284.9","4,292.1","4,274.7","-","0.23%"
"2021년 06월 25일","4,280.7","4,274.5","4,286.1","4,271.2","-","0.33%"
"2021년 06월 24일","4,266.5","4,257.0","4,271.3","4,257.0","-","0.58%"
"2021년 06월 23일","4,241.8","4,249.3","4,256.6","4,241.4","-","-0.11%"
"2021년 06월 22일","4,246.4","4,224.6","4,255.8","4,217.3","-","0.51%"
"2021년 06월 21일","4,224.8","4,173.4","4,226.2","4,173.4","-","1.40%"
"2021년 06월 18일","4,166.5","4,204.8","4,204.8","4,164.4","-","-1.31%"
"2021년 06월 17일","4,221.9","4,220.4","4,232.3","4,196.0","-","-0.04%"
"2021년 06월 16일","4,223.7","4,248.9","4,251.9","4,202.5","-","-0.54%"
"2021년 06월 15일","4,246.6","4,255.3","4,257.2","4,238.4","-","-0.20%"
"2021년 06월 14일","4,255.1","4,248.3","4,255.6","4,234.1","-","0.18%"
"2021년 06월 11일","4,247.4","4,242.9","4,248.4","4,232.3","-","0.19%"
"2021년 06월 10일","4,239.2","4,228.6","4,249.7","4,220.3","-","0.47%"
"2021년 06월 09일","4,219.5","4,233.0","4,237.1","4,218.7","-","-0.18%"
"2021년 06월 08일","4,227.3","4,233.8","4,236.7","4,208.4","-","0.02%"
"2021년 06월 07일","4,226.5","4,229.3","4,232.3","4,215.7","-","-0.08%"
"2021년 06월 04일","4,229.9","4,206.0","4,233.5","4,206.0","-","0.88%"
"2021년 06월 03일","4,192.9","4,191.4","4,204.4","4,167.9","-","-0.36%"
"2021년 06월 02일","4,208.1","4,206.8","4,217.4","4,198.3","-","0.14%"
"2021년 06월 01일","4,202.0","4,216.5","4,234.1","4,197.6","-","0.03%"
"2021년 05월 31일","4,200.6","4,206.9","4,209.9","4,190.4","-","-0.16%"
"2021년 05월 30일","4,207.4","4,203.3","4,210.4","4,203.1","-","0.08%"
"2021년 05월 28일","4,204.1","4,210.8","4,218.4","4,203.6","-","0.08%"
"2021년 05월 27일","4,200.9","4,201.9","4,213.4","4,197.8","-","0.12%"
"2021년 05월 26일","4,196.0","4,191.6","4,202.6","4,184.1","-","0.19%"
"2021년 05월 25일","4,188.1","4,205.9","4,213.4","4,182.5","-","-0.21%"
"2021년 05월 24일","4,197.0","4,170.2","4,209.5","4,170.2","-","0.99%"
"2021년 05월 21일","4,155.9","4,168.6","4,188.7","4,151.7","-","-0.08%"
"2021년 05월 20일","4,159.1","4,122.0","4,172.8","4,122.0","-","1.06%"
"2021년 05월 19일","4,115.7","4,098.5","4,116.9","4,061.4","-","-0.29%"
"2021년 05월 18일","4,127.8","4,165.9","4,169.1","4,126.0","-","-0.85%"
"2021년 05월 17일","4,163.3","4,169.9","4,171.9","4,142.7","-","-0.25%"
"2021년 05월 14일","4,173.9","4,129.6","4,183.1","4,129.6","-","1.49%"
"2021년 05월 13일","4,112.5","4,075.0","4,131.6","4,075.0","-","1.22%"
"2021년 05월 12일","4,063.0","4,130.5","4,134.7","4,056.9","-","-2.14%"
"2021년 05월 11일","4,152.1","4,150.3","4,162.0","4,111.5","-","-0.87%"
"2021년 05월 10일","4,188.4","4,228.3","4,236.4","4,188.1","-","-1.04%"
"2021년 05월 07일","4,232.6","4,210.3","4,238.0","4,201.6","-","0.74%"
