,Date
905,2015-05-04
906,2015-05-06
907,2015-05-07
910,2015-05-12
911,2015-05-13
912,2015-05-14
913,2015-05-15
914,2015-05-18
915,2015-05-19
916,2015-05-20
917,2015-05-21
918,2015-05-22
919,2015-05-26
920,2015-05-27
944,2015-06-30
945,2015-07-01
946,2015-07-02
947,2015-07-03
948,2015-07-06
949,2015-07-07
950,2015-07-08
951,2015-07-09
952,2015-07-10
959,2015-07-21
960,2015-07-22
961,2015-07-23
962,2015-07-24
963,2015-07-27
964,2015-07-28
965,2015-07-29
966,2015-07-30
967,2015-07-31
968,2015-08-03
969,2015-08-04
970,2015-08-05
971,2015-08-06
972,2015-08-07
973,2015-08-10
974,2015-08-11
975,2015-08-12
976,2015-08-13
977,2015-08-17
978,2015-08-18
979,2015-08-19
980,2015-08-20
983,2015-08-25
984,2015-08-26
994,2015-09-09
999,2015-09-16
1000,2015-09-17
1001,2015-09-18
1007,2015-09-30
1008,2015-10-01
1009,2015-10-02
1010,2015-10-05
1011,2015-10-06
1012,2015-10-07
1013,2015-10-08
1014,2015-10-12
1015,2015-10-13
1016,2015-10-14
1017,2015-10-15
1027,2015-10-29
1028,2015-10-30
1029,2015-11-02
1030,2015-11-03
1031,2015-11-04
1032,2015-11-05
1033,2015-11-06
1034,2015-11-09
1035,2015-11-10
1036,2015-11-11
1037,2015-11-12
1038,2015-11-13
1039,2015-11-16
1058,2015-12-11
1059,2015-12-14
1060,2015-12-15
1061,2015-12-16
1075,2016-01-08
1076,2016-01-11
1077,2016-01-12
1078,2016-01-13
1079,2016-01-14
1080,2016-01-15
1081,2016-01-18
1082,2016-01-19
1083,2016-01-20
1084,2016-01-21
1085,2016-01-22
1086,2016-01-25
1087,2016-01-26
1200,2016-07-13
1201,2016-07-14
1202,2016-07-15
1203,2016-07-18
1207,2016-07-22
1208,2016-07-25
1273,2016-10-31
1274,2016-11-01
1275,2016-11-02
1276,2016-11-03
1277,2016-11-04
1278,2016-11-07
1279,2016-11-08
1280,2016-11-09
1281,2016-11-10
1343,2017-02-09
1344,2017-02-10
1345,2017-02-13
1346,2017-02-14
1347,2017-02-15
1348,2017-02-16
1349,2017-02-17
1350,2017-02-20
1452,2017-07-20
1453,2017-07-21
1454,2017-07-24
1455,2017-07-25
1463,2017-08-04
1464,2017-08-07
1465,2017-08-08
1466,2017-08-09
1467,2017-08-10
1468,2017-08-11
1469,2017-08-14
1470,2017-08-16
1471,2017-08-17
1472,2017-08-18
1473,2017-08-21
1512,2017-10-23
1513,2017-10-24
1514,2017-10-25
1515,2017-10-26
1516,2017-10-27
1517,2017-10-30
1518,2017-10-31
1519,2017-11-01
1520,2017-11-02
1749,2018-10-12
1750,2018-10-15
1751,2018-10-16
2128,2020-04-24
2129,2020-04-27
2130,2020-04-28
2131,2020-04-29
2132,2020-05-04
2322,2021-02-05
2323,2021-02-08
2324,2021-02-09
2325,2021-02-10
2326,2021-02-15
2327,2021-02-16
2328,2021-02-17
