Date,price,high_yield,dollar_index,krw,tnx,organization,foreigner,china,america,wti
2014-12-18,113000.0,5.15,89.239998,1098.900024,2.204,387058.0,-523187.0,3057.52,2061.2,54.11
2014-12-19,129500.0,5.09,89.599998,1097.5,2.176,288089.0,-11724.0,3108.6,2070.6,56.52
2014-12-22,134500.0,5.03,89.769997,1099.300049,2.162,292367.0,-112309.0,3127.44,2078.5,55.26
2014-12-23,135000.0,4.94,90.059998,1099.099976,2.257,190393.0,-146293.0,3032.61,2082.2,57.12
2014-12-24,133000.0,4.93,90.059998,1106.099976,2.257,263605.0,-23417.0,2972.53,2081.9,55.84
2014-12-26,135500.0,4.93,90.029999,1102.099976,2.25,362877.0,47442.0,3157.6,2088.8,54.73
2014-12-29,149000.0,4.96,90.190002,1105.599976,2.207,-140218.0,-124286.0,3168.02,2090.6,53.61
2014-12-30,158000.0,4.98,89.989998,1098.800049,2.19,-218135.0,-120811.0,3165.81,2080.4,54.12
2015-01-02,171000.0,5.08,91.08000200000001,1093.599976,2.123,-206643.0,30594.0,3165.81,2058.2,52.69
2015-01-05,145500.0,5.21,91.379997,1111.0,2.039,-286048.0,52420.0,3350.52,2020.6,50.04
2015-01-06,138500.0,5.37,91.5,1108.5,1.963,-359094.0,-383372.0,3351.45,2002.6,47.93
2015-01-07,135500.0,5.31,91.889999,1097.300049,1.954,-51226.0,-240431.0,3373.95,2025.9,48.65
2015-01-08,135000.0,5.17,92.370003,1097.800049,2.016,28913.0,199227.0,3293.46,2062.1,48.79
2015-01-09,150000.0,5.20,91.940002,1094.300049,1.971,237145.0,154800.0,3285.41,2044.8,48.36
2015-01-12,147500.0,5.27,91.980003,1081.800049,1.912,-3612.0,-87794.0,3229.32,2028.3,46.07
2015-01-13,138000.0,5.28,92.309998,1081.400024,1.89,-276070.0,-59531.0,3235.3,2023.0,45.89
2015-01-14,137000.0,5.39,92.160004,1077.099976,1.837,-112317.0,-88469.0,3222.44,2011.3,48.48
2015-01-15,140500.0,5.42,92.349998,1082.0,1.775,40191.0,-190809.0,3336.45,1992.7,46.25
2015-01-16,136000.0,5.42,92.519997,1075.5,1.815,-292878.0,-302471.0,3376.49,2019.4,48.69
2015-01-19,131000.0,5.39,92.519997,1078.0,1.815,249573.0,-28227.0,3116.35,2009.9,47.78
2015-01-20,131500.0,5.39,93.050003,1079.099976,1.807,286794.0,38044.0,3173.05,2022.6,46.39
2015-01-21,124000.0,5.36,92.900002,1086.699951,1.853,-123095.0,88012.0,3323.61,2032.1,47.78
2015-01-22,124000.0,5.27,94.239998,1081.900024,1.896,-77454.0,139566.0,3343.34,2063.1,46.31
2015-01-23,131000.0,5.30,95.0,1084.699951,1.817,12601.0,102040.0,3351.76,2051.8,45.59
2015-01-26,129500.0,5.26,94.800003,1084.5,1.828,-103975.0,-109759.0,3383.18,2057.1,45.15
2015-01-27,135000.0,5.29,94.019997,1079.300049,1.825,164150.0,83063.0,3352.96,2029.6,46.23
2015-01-28,140000.0,5.31,94.470001,1076.699951,1.724,214232.0,-67927.0,3305.74,2002.2,44.45
2015-01-29,137500.0,5.28,94.779999,1084.400024,1.751,105011.0,-244516.0,3262.3,2021.3,44.53
2015-01-30,136000.0,5.37,94.800003,1098.800049,1.675,-33356.0,-92484.0,3210.36,1995.0,48.24
2015-02-02,135000.0,5.26,94.5,1099.0,1.673,-41494.0,5031.0,3128.3,2020.8,49.57
2015-02-03,138500.0,5.11,93.599998,1098.099976,1.78,20048.0,-26511.0,3204.91,2050.0,53.05
2015-02-04,137500.0,5.05,93.989998,1091.300049,1.797,146947.0,224866.0,3174.13,2041.5,48.45
2015-02-05,136000.0,4.99,94.699997,1087.599976,1.815,-189159.0,-114634.0,3136.53,2062.5,50.48
2015-02-06,138500.0,4.78,94.699997,1084.800049,1.938,468533.0,431783.0,3075.91,2055.5,51.69
2015-02-09,138500.0,4.80,94.449997,1096.699951,1.948,23264.0,-74238.0,3095.12,2046.7,52.86
2015-02-10,136500.0,4.75,94.760002,1094.099976,1.991,-18252.0,-92003.0,3141.59,2068.6,50.02
2015-02-11,140000.0,4.76,94.989998,1097.599976,1.988,71922.0,102431.0,3157.7,2068.5,48.84
