종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2435","15","0.62","2430","2455","2370","169436","408955100","109094114285","44802511"
"095570","AJ네트웍스","KOSPI",,"4275","100","2.40","4190","4350","4170","264377","1125381560","200165311125","46822295"
"006840","AK홀딩스","KOSPI",,"30050","0","0.00","29900","30350","29650","51870","1559383400","398089208050","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","8400","210","2.56","8220","8480","8040","440786","3656740780","171311456400","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","28900","-450","-1.53","29400","29400","28650","181464","5250330800","418478560300","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","18650","-350","-1.84","19050","19600","18500","1498423","28531143200","280911969600","15062304"
"027410","BGF","KOSPI",,"6460","0","0.00","6480","6520","6370","563875","3627922140","618330469860","95716791"
"282330","BGF리테일","KOSPI",,"169500","-2500","-1.45","172500","173500","168500","29953","5084943000","2929622067000","17283906"
"138930","BNK금융지주","KOSPI",,"6630","40","0.61","6610","6680","6570","1116835","7388670450","2160950680980","325935246"
"001460","BYC","KOSPI",,"359500","-1000","-0.28","360500","360500","357000","228","81614000","224549092500","624615"
"001465","BYC우","KOSPI",,"155000","-4000","-2.52","159000","159000","155000","251","39070000","33384675000","215385"
"001040","CJ","KOSPI",,"94000","-1000","-1.05","95100","95700","93400","51297","4822117000","2742637812000","29176998"
"079160","CJ CGV","KOSPI",,"29050","-150","-0.51","29200","29200","28700","227481","6580667750","1019655000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","142800","-1200","-0.83","144000","144500","142100","88427","12615161100","3131483191200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"73300","-200","-0.27","73500","73600","72400","3227","235364400","309803329600","4226512"
"000120","CJ대한통운","KOSPI",,"176000","0","0.00","176500","176500","174000","48787","8545360000","4014972544000","22812344"
"011150","CJ씨푸드","KOSPI",,"4570","5","0.11","4580","4680","4570","724207","3353394590","164203632610","35930773"
"011155","CJ씨푸드1우","KOSPI",,"37400","0","0.00","37400","37800","37350","151","5668800","7480000000","200000"
"001045","CJ우","KOSPI",,"55500","-400","-0.72","56000","56800","55400","1472","81879600","125442376500","2260223"
"097950","CJ제일제당","KOSPI",,"421500","-2500","-0.59","427000","434000","421500","55264","23575979000","6345339399000","15054186"
"097955","CJ제일제당 우","KOSPI",,"190000","-500","-0.26","192500","194500","189500","6886","1314901000","252212270000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","24200","-250","-1.02","24350","24350","23750","106931","2562910450","287292381200","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4570","85","1.90","4520","4670","4445","1281127","5802891845","634737555080","138892244"
"023460","CNH","KOSDAQ","벤처기업부","2520","-50","-1.95","2545","2570","2470","54647","137275135","93744000000","37200000"
"056000","COWON","KOSDAQ","관리종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","2615","-5","-0.19","2630","2645","2540","171816","446958385","49253917250","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","3005","75","2.56","2930","3050","2890","161574","478882580","111401495225","37072045"
"000590","CS홀딩스","KOSPI",,"60300","0","0.00","60300","60400","59800","2279","136916000","69615264600","1154482"
"012030","DB","KOSPI",,"881","1","0.11","887","888","874","895665","786474874","177234234973","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2060","0","0.00","2060","2065","2055","27392","56428500","12463000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2020","0","0.00","2025","2025","2020","121895","246680560","9776800000","4840000"
"016610","DB금융투자","KOSPI",,"5740","-10","-0.17","5750","5750","5660","88779","505375560","243642272860","42446389"
"005830","DB손해보험","KOSPI",,"44500","-150","-0.34","44650","44950","44350","224697","10013064350","3150600000000","70800000"
"000990","DB하이텍","KOSPI",,"57400","700","1.23","57400","58200","56700","1503983","86252578600","2548478951200","44398588"
"000995","DB하이텍1우","KOSPI",,"102500","-5000","-4.65","105000","105000","102500","1516","156320000","11512390000","112316"
"139130","DGB금융지주","KOSPI",,"8270","50","0.61","8220","8270","8100","881243","7197216590","1398836038910","169145833"
"001530","DI동일","KOSPI",,"169500","3000","1.80","168500","169500","163000","11496","1915404500","417920725500","2465609"
"000210","DL","KOSPI",,"78000","-200","-0.26","78400","78500","76600","180303","13947369100","1204418436000","15441262"
"000215","DL우","KOSPI",,"39850","-300","-0.75","40150","40200","39300","6563","259724750","67191682750","1686115"
"375500","DL이앤씨","KOSPI",,"123000","2000","1.65","121500","123000","118500","330487","39717166500","2381124774000","19358738"
"37550K","DL이앤씨우","KOSPI",,"73900","100","0.14","73800","74300","72500","9742","713579700","156216101500","2113885"
"068790","DMS","KOSDAQ","우량기업부","8260","-130","-1.55","8450","8460","8250","127885","1062303500","202973483860","24573061"
"004840","DRB동일","KOSPI",,"6900","0","0.00","6990","7090","6840","7833","54198900","137517000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5860","-200","-3.30","5950","6510","5700","5368210","33188061890","108637537940","18538829"
"155660","DSR","KOSPI",,"5360","-10","-0.19","5390","5390","5300","22046","117537600","85760000000","16000000"
"069730","DSR제강","KOSPI",,"5290","10","0.19","5270","5340","5200","66441","348552440","76176000000","14400000"
"017940","E1","KOSPI",,"41700","850","2.08","41200","41850","40800","27293","1131814300","286062000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","5260","375","7.68","5140","5470","4950","1825108","9564660135","225835633060","42934531"
"037370","EG","KOSDAQ","중견기업부","11250","200","1.81","11100","11250","10850","53671","592268000","84375000000","7500000"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5830","10","0.17","5840","5870","5770","149110","865183130","835199970000","143259000"
