종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2505","35","1.42","2455","2515","2435","240109","597183680","113255796975","45211895"
"095570","AJ네트웍스","KOSPI",,"4440","110","2.54","4330","4440","4200","141424","618410800","207890989800","46822295"
"006840","AK홀딩스","KOSPI",,"30100","-150","-0.50","29600","30150","29600","37485","1121303450","398751586100","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","8600","140","1.65","8220","8650","8210","270624","2303590810","175390300600","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","28600","-300","-1.04","28250","29100","28250","168714","4846069600","414134492200","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","17950","-1200","-6.27","18850","19150","17500","1355029","24915736200","270368356800","15062304"
"027410","BGF","KOSPI",,"6330","-60","-0.94","6350","6470","6280","529311","3360226030","605887287030","95716791"
"282330","BGF리테일","KOSPI",,"169000","-5000","-2.87","172000","172000","168500","53422","9078639500","2920980114000","17283906"
"138930","BNK금융지주","KOSPI",,"6880","140","2.08","6850","6970","6750","4656811","32001803470","2242434492480","325935246"
"001460","BYC","KOSPI",,"356500","-3000","-0.83","358000","358000","353000","514","182219000","222675247500","624615"
"001465","BYC우","KOSPI",,"153000","500","0.33","153000","153000","151500","232","35470000","32953905000","215385"
"001040","CJ","KOSPI",,"92600","-800","-0.86","92800","93100","92100","67585","6251655100","2701790014800","29176998"
"079160","CJ CGV","KOSPI",,"29300","800","2.81","28250","29350","28100","396071","11455429550","1028430000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","144600","700","0.49","142300","144600","141900","58129","8330575400","3170955668400","21929154"
"00104K","CJ4우(전환)","KOSPI",,"73000","0","0.00","72900","73000","71800","4658","337461200","308535376000","4226512"
"000120","CJ대한통운","KOSPI",,"169500","-4500","-2.59","172000","172500","169000","62423","10610259500","3866692308000","22812344"
"011150","CJ씨푸드","KOSPI",,"4660","15","0.32","4625","4665","4535","407047","1882344990","167437402180","35930773"
"011155","CJ씨푸드1우","KOSPI",,"36900","-500","-1.34","37800","37800","36500","120","4415600","7380000000","200000"
"001045","CJ우","KOSPI",,"55100","-100","-0.18","55500","55500","54600","1293","71095500","124538287300","2260223"
"097950","CJ제일제당","KOSPI",,"421000","3500","0.84","418000","428500","412500","59512","25046483000","6337812306000","15054186"
"097955","CJ제일제당 우","KOSPI",,"190000","0","0.00","189500","193500","188000","7572","1443505000","252212270000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","24600","150","0.61","23900","24650","23800","99810","2435967600","292041015600","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4475","-75","-1.65","4485","4565","4460","654943","2942162250","621542791900","138892244"
"023460","CNH","KOSDAQ","벤처기업부","2490","-65","-2.54","2530","2600","2450","115059","286147765","92628000000","37200000"
"056000","COWON","KOSDAQ","관리종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","2650","30","1.15","2590","2670","2560","151659","399484460","49913147500","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","3165","100","3.26","3050","3360","3000","1015002","3279653515","117333022425","37072045"
"000590","CS홀딩스","KOSPI",,"59700","-700","-1.16","60000","60400","59600","1367","81912200","68922575400","1154482"
"012030","DB","KOSPI",,"887","3","0.34","882","892","873","614433","542344312","178441278571","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2060","5","0.24","2055","2060","2055","170","349910","12463000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2030","0","0.00","2030","2035","2020","40069","81329545","9825200000","4840000"
"016610","DB금융투자","KOSPI",,"5810","0","0.00","5770","5840","5750","159844","926063380","246613520090","42446389"
"005830","DB손해보험","KOSPI",,"45700","1200","2.70","45350","45750","44100","949366","43087112850","3235560000000","70800000"
"000990","DB하이텍","KOSPI",,"57300","-200","-0.35","55900","58000","55800","634074","36093627500","2544039092400","44398588"
"000995","DB하이텍1우","KOSPI",,"103000","1000","0.98","103500","103500","102000","335","34369000","11568548000","112316"
"139130","DGB금융지주","KOSPI",,"8960","550","6.54","8580","8960","8480","5314428","46994700060","1515546663680","169145833"
"001530","DI동일","KOSPI",,"179000","4500","2.58","170500","179500","170000","19240","3372584000","441344011000","2465609"
"000210","DL","KOSPI",,"85700","3700","4.51","81000","87000","80200","645670","54708390700","1323316153400","15441262"
"000215","DL우","KOSPI",,"41500","500","1.22","40650","42000","40200","11979","495468400","69973772500","1686115"
"375500","DL이앤씨","KOSPI",,"119000","-1000","-0.83","118000","121500","117000","315968","37717055000","2303689822000","19358738"
"37550K","DL이앤씨우","KOSPI",,"73700","200","0.27","71900","76200","71700","8891","654258700","155793324500","2113885"
"068790","DMS","KOSDAQ","우량기업부","8330","60","0.73","8270","8380","8160","98194","812731160","204693598130","24573061"
"004840","DRB동일","KOSPI",,"6960","-30","-0.43","7020","7050","6850","30324","210677800","138712800000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5460","-340","-5.86","5510","5570","5320","3639510","19804747800","151121153820","27677867"
"155660","DSR","KOSPI",,"5600","250","4.67","5360","5600","5350","158037","866926090","89600000000","16000000"
"069730","DSR제강","KOSPI",,"5360","50","0.94","5270","5360","5200","115394","611513030","77184000000","14400000"
"017940","E1","KOSPI",,"42750","600","1.42","41800","43050","41600","27942","1188514150","293265000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","5250","-10","-0.19","5250","5300","5150","332007","1735138260","225406287750","42934531"
"037370","EG","KOSDAQ","중견기업부","11250","50","0.45","11050","11250","10950","58506","651654650","84375000000","7500000"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5860","30","0.51","5830","5890","5780","667935","3906369010","839497740000","143259000"
"007700","F&F","KOSPI",,"141500","-2000","-1.39","141500","144000","138000","44388","6290790000","2179100000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","6700","-50","-0.74","6610","6750","6570","43913","293466330","73700000000","11000000"
"114090","GKL","KOSPI",,"17100","-250","-1.44","17150","17450","17050","451538","7770743700","1057731957000","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"38900","-900","-2.26","38900","39250","38800","409836","15986896600","3614408204200","92915378"
"083450","GST","KOSDAQ","우량기업부","22550","650","2.97","21450","22850","21250","421946","9448172700","210115149750","9317745"
"006360","GS건설","KOSPI",,"40500","-150","-0.37","40150","41000","39700","822088","33264717750","3462380154000","85490868"
"001250","GS글로벌","KOSPI",,"2450","50","2.08","2375","2450","2350","541399","1307820850","202207721800","82533764"
"007070","GS리테일","KOSPI",,"38800","250","0.65","38200","38800","37800","215758","8304818800","2987600000000","77000000"
"078935","GS우","KOSPI",,"31950","0","0.00","31900","31950","31650","4255","135330500","57025190700","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","152800","700","0.46","150800","153000","149500","16226","2455901600","1002750000000","6562500"
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)","307","-6","-1.92","311","312","301","3785674","1163420086","26637219409","86766187"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2935","10","0.34","2870","2950","2840","1460662","4240992600","231836900310","78990426"
"012630","HDC","KOSPI",,"11150","0","0.00","11000","11250","10950","408890","4545421350","666120189150","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"10250","100","0.99","10000","10400","9960","38949","396890710","168715000000","16460000"
"089470","HDC현대EP","KOSPI",,"6230","-40","-0.64","6160","6280","6150","65238","405610260","198737000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"27800","-300","-1.07","27700","28100","27550","389048","10824691550","1832223774000","65907330"
"011200","HMM","KOSPI",,"24450","850","3.60","23400","24450","23200","13472254","324314285950","8087146499100","330762638"
"036640","HRS","KOSDAQ","중견기업부","5970","-30","-0.50","5910","5990","5850","100198","593228000","97638156000","16354800"
"082740","HSD엔진","KOSPI",,"7850","230","3.02","7700","7930","7600","1439219","11238456100","318705462700","40599422"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2170","0","0.00","2170","2170","2170","3","6510","6770400000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2095","-5","-0.24","2100","2100","2095","5504","11555900","10831150000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","2090","-10","-0.48","2080","2090","2080","458","952650","9049700000","4330000"
