Date,price,high_yield,dollar_index,krw,tnx,organization,foreigner,china,america,wti
2016-11-18,35900.0,4.84,101.209999,1179.150024,2.335,-316953.0,38893.0,3192.86,2181.9,45.69
2016-11-21,34500.0,4.78,101.050003,1180.75,2.339,-51071.0,63871.0,3218.15,2198.2,47.49
2016-11-22,36900.0,4.7,101.040001,1179.180054,2.321,90149.0,316649.0,3248.35,2202.9,48.03
2016-11-23,35350.0,4.66,101.699997,1167.930054,2.357,441813.0,153776.0,3241.14,2204.7,47.96
2016-11-24,35400.0,4.66,101.699997,1180.859985,2.357,130130.0,-172088.0,3241.74,2205.5,47.98
2016-11-25,34900.0,4.64,101.489998,1181.050049,2.372,-9104.0,17633.0,3261.94,2213.4,46.06
2016-11-28,35000.0,4.66,101.33000200000001,1172.699951,2.32,-176328.0,178801.0,3277.0,2201.7,47.08
2016-11-29,34850.0,4.69,100.93,1169.709961,2.302,-126674.0,427675.0,3282.92,2204.7,45.23
2016-11-30,33450.0,4.67,101.5,1167.859985,2.368,-281340.0,255186.0,3250.03,2198.8,49.44
2016-12-01,34100.0,4.62,101.040001,1178.130005,2.441,-8908.0,-339.0,3273.31,2191.1,51.06
2016-12-02,33400.0,4.64,100.769997,1167.699951,2.39,-10810.0,-29773.0,3243.84,2191.9,51.68
2016-12-05,34800.0,4.58,100.139999,1169.599976,2.387,147513.0,-63323.0,3204.71,2204.7,51.79
2016-12-06,34900.0,4.5,100.489998,1166.98999,2.396,424613.0,-44648.0,3199.65,2212.2,50.93
2016-12-07,34800.0,4.42,100.230003,1170.550049,2.347,24212.0,-26299.0,3222.24,2241.4,49.77
2016-12-08,35600.0,4.38,101.07,1157.5,2.387,687789.0,6619.0,3215.37,2246.2,50.84
2016-12-09,36400.0,4.28,101.57,1162.25,2.464,40308.0,67896.0,3232.88,2259.5,51.5
2016-12-12,37050.0,4.25,100.959999,1169.949951,2.479,28401.0,78724.0,3152.97,2257.0,52.83
2016-12-13,36000.0,4.2,101.029999,1164.650024,2.481,39879.0,53023.0,3155.04,2271.7,52.98
2016-12-14,35550.0,4.12,102.0,1163.589966,2.525,-202215.0,184252.0,3140.53,2253.3,51.04
2016-12-15,35550.0,4.2,103.129997,1179.160034,2.58,69905.0,-16515.0,3117.68,2262.0,50.9
2016-12-16,35900.0,4.21,102.949997,1184.430054,2.597,-149604.0,55315.0,3122.98,2258.1,51.9
2016-12-19,35000.0,4.23,103.139999,1186.0,2.542,-79159.0,-3259.0,3118.08,2262.5,52.12
2016-12-20,34800.0,4.2,103.290001,1186.949951,2.568,-4532.0,27890.0,3102.88,2270.8,52.23
2016-12-21,34050.0,4.19,103.019997,1191.469971,2.546,-92951.0,81762.0,3137.43,2265.2,52.49
2016-12-22,35000.0,4.17,103.089996,1193.349976,2.553,69463.0,-50805.0,3139.56,2261.0,52.95
2016-12-23,35300.0,4.16,103.010002,1205.099976,2.543,269821.0,-139132.0,3110.15,2263.8,53.02
2016-12-26,35000.0,4.16,103.010002,1199.550049,2.543,124925.0,-49419.0,3122.57,2259.0,53.19
2016-12-27,35050.0,4.11,103.019997,1199.550049,2.563,165431.0,96583.0,3114.66,2268.9,53.9
2016-12-28,35600.0,4.15,103.260002,1206.47998,2.506,-391728.0,131188.0,3102.24,2249.9,54.06
2016-12-29,35850.0,4.18,102.68,1210.339966,2.477,-289402.0,134431.0,3096.1,2249.3,53.77
2017-01-02,35400.0,4.18,102.68,1205.449951,2.477,-86710.0,34270.0,3096.1,2243.3,54.03
2017-01-03,34950.0,4.13,103.209999,1202.930054,2.45,-191296.0,216192.0,3135.92,2257.8,52.33
2017-01-04,35600.0,4.02,102.699997,1206.01001,2.452,-351267.0,217612.0,3158.79,2270.8,53.26
2017-01-05,36000.0,4.04,101.519997,1194.47998,2.368,-174550.0,98908.0,3165.41,2269.0,53.76
2017-01-06,36450.0,3.98,102.220001,1180.630005,2.418,-142210.0,181587.0,3154.32,2277.0,53.99
2017-01-09,36850.0,4.02,101.93,1201.099976,2.376,-453497.0,245983.0,3171.24,2268.9,51.96
2017-01-10,37000.0,4,102.010002,1202.52002,2.379,-255600.0,97714.0,3161.67,2268.9,50.82
2017-01-11,36900.0,4.03,101.779999,1200.599976,2.37,-128166.0,492261.0,3136.75,2275.3,52.25
2017-01-12,36050.0,4.05,101.349998,1187.160034,2.361,-77244.0,94819.0,3119.29,2270.4,53.01
2017-01-13,36200.0,4.02,101.18,1174.719971,2.38,168190.0,-105551.0,3112.76,2274.6,52.37
2017-01-16,36550.0,4,101.18,1174.050049,2.38,163977.0,-220766.0,3103.43,2266.3,52.52
2017-01-17,36100.0,4.06,100.33000200000001,1182.170044,2.327,67556.0,18650.0,3108.77,2267.9,52.48
2017-01-18,35250.0,4.01,100.93,1160.030029,2.389,73319.0,543.0,3113.01,2271.9,51.08
2017-01-19,34900.0,3.99,101.150002,1176.790039,2.459,-317228.0,171998.0,3101.3,2263.7,51.37
2017-01-20,35650.0,4.02,100.739998,1173.75,2.467,33371.0,-46541.0,3123.14,2271.3,52.42
2017-01-23,34650.0,4.1,100.160004,1173.300049,2.403,-109322.0,118938.0,3136.77,2265.2,52.75
2017-01-24,34400.0,4.02,100.349998,1162.650024,2.471,17867.0,-14472.0,3142.55,2280.1,53.18
2017-01-25,34700.0,3.93,100.029999,1168.030029,2.523,-375803.0,207801.0,3149.55,2298.4,52.75
2017-01-26,37450.0,3.93,100.379997,1161.26001,2.508,-213124.0,371093.0,3159.17,2296.7,53.78
2017-01-31,37000.0,4,99.510002,1169.209961,2.451,86167.0,-279537.0,3159.17,2278.9,52.81
2017-02-01,36750.0,3.95,99.639999,1149.25,2.474,49163.0,12716.0,3159.17,2279.6,53.88
2017-02-02,36200.0,3.93,99.849998,1151.949951,2.47,-193606.0,87483.0,3159.17,2280.9,53.54
2017-02-03,37250.0,3.86,99.870003,1142.699951,2.491,-61927.0,-112428.0,3140.17,2297.4,53.83
2017-02-06,37650.0,3.91,99.910004,1137.76001,2.413,50731.0,21190.0,3156.98,2292.6,53.01
2017-02-07,37900.0,3.93,100.260002,1132.709961,2.389,126872.0,-141862.0,3153.09,2293.1,52.17
2017-02-08,37500.0,3.98,100.279999,1142.099976,2.351,98375.0,-238099.0,3166.98,2294.7,52.34
2017-02-09,35850.0,3.93,100.650002,1144.619995,2.395,-145952.0,82324.0,3183.18,2307.9,53.0
2017-02-10,36100.0,3.9,100.800003,1149.910034,2.409,306547.0,-92433.0,3196.7,2316.1,53.86
2017-02-13,35500.0,3.86,100.959999,1145.180054,2.434,232994.0,7920.0,3216.84,2328.3,52.93
2017-02-14,35900.0,3.8,101.25,1148.699951,2.47,258301.0,-122936.0,3217.93,2337.6,53.2
2017-02-15,36850.0,3.77,101.18,1137.959961,2.502,164711.0,-28506.0,3212.99,2349.3,53.11
2017-02-16,35400.0,3.83,100.440002,1133.099976,2.45,-260773.0,162697.0,3229.62,2347.2,53.36
2017-02-17,35650.0,3.86,100.949997,1141.079956,2.425,149734.0,287410.0,3202.08,2351.2,53.4
2017-02-20,35200.0,3.86,100.949997,1149.599976,2.425,-206899.0,54993.0,3239.96,2353.3,53.97
2017-02-21,35250.0,3.81,101.370003,1143.959961,2.427,97695.0,148177.0,3253.33,2365.4,54.06
2017-02-22,35850.0,3.78,101.33000200000001,1141.180054,2.418,-218745.0,465049.0,3261.22,2362.8,53.59
2017-02-23,35650.0,3.77,101.050003,1137.949951,2.388,-51711.0,20085.0,3251.38,2363.8,54.45
2017-02-24,35300.0,3.84,101.089996,1131.810059,2.317,-39824.0,-24655.0,3253.43,2367.3,53.99
2017-02-27,35900.0,3.75,101.129997,1130.449951,2.369,256094.0,-236541.0,3228.66,2369.8,54.05
2017-02-28,36900.0,3.74,101.120003,1133.939941,2.358,-22648.0,60011.0,3241.73,2363.6,54.01
2017-03-02,36300.0,3.55,102.199997,1139.569946,2.489,-621409.0,695015.0,3230.03,2381.9,52.61
2017-03-03,35950.0,3.6,101.540001,1149.900024,2.492,-122079.0,-51756.0,3218.31,2383.1,53.33
2017-03-06,36050.0,3.66,101.639999,1151.969971,2.494,-257909.0,248175.0,3233.87,2375.3,53.2
2017-03-07,36900.0,3.73,101.809998,1154.25,2.511,87580.0,115701.0,3242.41,2368.4,53.14
2017-03-08,36500.0,3.79,102.07,1149.410034,2.552,-236905.0,190707.0,3240.66,2363.0,50.28
2017-03-09,36250.0,3.88,101.849998,1153.619995,2.598,-650843.0,451120.0,3216.75,2364.9,49.28
2017-03-10,36650.0,3.89,101.25,1159.280029,2.582,-286778.0,172286.0,3212.76,2372.6,48.49
2017-03-13,36900.0,3.94,101.379997,1145.959961,2.608,-269633.0,469180.0,3237.02,2373.5,48.4
2017-03-14,37150.0,4.05,101.699997,1147.550049,2.595,-436415.0,414288.0,3239.33,2365.4,47.72
2017-03-15,37500.0,4.02,100.739998,1148.219971,2.508,-265399.0,125349.0,3241.76,2385.3,48.86
2017-03-16,38600.0,3.88,100.269997,1127.400024,2.522,-98180.0,274959.0,3268.94,2381.4,48.75
2017-03-17,40200.0,3.91,100.300003,1127.01001,2.501,-209185.0,244150.0,3237.45,2378.3,48.78
2017-03-20,39850.0,3.97,100.410004,1126.650024,2.473,-65154.0,-88180.0,3250.81,2373.5,48.22
2017-03-21,38600.0,4.04,99.809998,1113.75,2.436,-192718.0,366557.0,3261.61,2344.0,47.34
2017-03-22,38000.0,4.16,99.68,1122.780029,2.396,-105445.0,-116192.0,3245.22,2348.4,48.04
2017-03-23,38050.0,4.11,99.760002,1116.410034,2.418,5399.0,63356.0,3248.55,2346.0,47.7
2017-03-24,37650.0,4.07,99.629997,1121.22998,2.4,218371.0,-103774.0,3269.45,2344.0,47.97
2017-03-27,36200.0,4.12,99.16999799999999,1116.140015,2.373,-90626.0,20611.0,3266.96,2341.6,47.73
2017-03-28,36350.0,4.01,99.709999,1111.099976,2.409,-76265.0,14156.0,3252.95,2358.6,48.37
2017-03-29,36850.0,3.94,100.0,1115.5,2.386,-12653.0,-71254.0,3241.31,2361.1,49.51
2017-03-30,37100.0,3.85,100.410004,1109.949951,2.416,-171722.0,94347.0,3210.24,2368.1,50.35
2017-03-31,36700.0,3.92,100.349998,1117.02002,2.396,41447.0,30902.0,3222.51,2362.7,50.6
2017-04-03,36350.0,3.98,100.540001,1115.160034,2.35,94518.0,-59244.0,3222.51,2358.8,50.24
2017-04-04,35800.0,3.98,100.540001,1116.22998,2.35,-121824.0,-98311.0,3222.51,2360.2,51.03
2017-04-05,36850.0,3.91,100.559998,1124.099976,2.357,-130326.0,-29956.0,3270.31,2352.9,51.15
2017-04-06,37250.0,3.93,100.66999799999999,1127.099976,2.343,-92117.0,-105447.0,3281.0,2357.5,51.7
2017-04-07,37450.0,3.86,101.18,1130.0,2.373,118647.0,-81644.0,3286.62,2355.5,52.24
2017-04-10,36850.0,3.86,101.019997,1136.0,2.361,-22150.0,-57372.0,3269.39,2357.2,53.08
2017-04-11,37700.0,3.94,100.709999,1142.030029,2.298,136342.0,-152608.0,3288.97,2353.8,53.4
2017-04-12,37350.0,3.96,100.779999,1144.589966,2.296,-96868.0,71139.0,3273.83,2344.9,53.11
2017-04-13,37450.0,4.03,100.559998,1133.430054,2.232,115826.0,-12993.0,3275.96,2328.9,53.18
2017-04-14,36400.0,4.03,100.559998,1135.0,2.232,19728.0,-79779.0,3246.07,2328.9,53.18
2017-04-17,36350.0,4,100.300003,1135.359985,2.252,299004.0,-126323.0,3222.17,2349.0,52.65
2017-04-18,36950.0,4.07,99.5,1131.800049,2.179,67368.0,-4965.0,3196.71,2342.2,52.41
2017-04-19,36150.0,4.01,99.739998,1141.680054,2.202,110105.0,-223208.0,3170.69,2338.2,50.44
2017-04-20,37000.0,3.98,99.779999,1141.890015,2.241,277184.0,28893.0,3172.1,2355.8,50.27
